"Race" "Ratio"
"1" "White" "76.40%"
"2" "African American" "9.40%"
"3" "Native American" "0.40%"
"4" "Asian" "4.10%"
"5" "Pacific Islander" "0%"
"6" "Other Races" "5.70%"
"7" "Two or More Races" "3%"
