Race,,
White,50.00%,
African American,9.00%,
Native American,0.70%,
Asian,13.70%,
Pacific Islander,0.30%,
Other Races,21.80%,
Two or More Races,4.50%,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
