"Census" "Population" "Percentage_Change"
"14" "1980" 7477421 "6.18%"
"15" "1990" 8863164 "18.53%"
"16" "2000" 9519338 "7.40%"
"17" "2010" 9818605 "3.14%"
"18" "Est.2016" 10137915 "3.25%"
