"Year" "Unemployment_Rate"
"1" 1990 4.9
"13" 1991 4.3
"25" 1992 4.6
"37" 1993 4.2
"49" 1994 3.7
"61" 1995 3.1
"73" 1996 3.2
"85" 1997 3.5
"97" 1998 3
"109" 1999 2.5
"121" 2000 3.4
"133" 2001 3
"145" 2002 5.9
"157" 2003 6.3
"169" 2004 5.7
"181" 2005 5
"193" 2006 4.5
"205" 2007 3.9
"217" 2008 4
"229" 2009 6.1
"241" 2010 7.5
"253" 2011 6.9
"265" 2012 6.2
"277" 2013 5.8
"289" 2014 4.6
"301" 2015 3.9
"313" 2016 3.2
"325" 2017 3.5
